,id,country_name,Indicator_Name,YR_2008,YR_2009,YR_2010,YR_2011,YR_2012,YR_2013,YR_2014,YR_2015,YR_2016,YR_2017,YR_2018
181,182,Other small states,GDP (current US$),327000000000.0,280000000000.0,326000000000.0,402000000000.0,422000000000.0,437000000000.0,449000000000.0,372000000000.0,367000000000.0,406000000000.0,452000000000.0
182,183,Pakistan,GDP (current US$),170000000000.0,168000000000.0,177000000000.0,214000000000.0,224000000000.0,231000000000.0,244000000000.0,271000000000.0,279000000000.0,305000000000.0,315000000000.0
183,184,Panama,GDP (current US$),25155888600.0,27116635600.0,29440300000.0,34686200000.0,40429700000.0,45600000000.0,49921500000.0,54091700000.0,57957600000.0,62283800000.0,65055100000.0
184,185,Peru,GDP (current US$),121000000000.0,121000000000.0,148000000000.0,172000000000.0,193000000000.0,201000000000.0,201000000000.0,190000000000.0,192000000000.0,211000000000.0,222000000000.0
185,186,Philippines,GDP (current US$),174000000000.0,168000000000.0,200000000000.0,224000000000.0,250000000000.0,272000000000.0,285000000000.0,293000000000.0,305000000000.0,314000000000.0,331000000000.0
186,187,Palau,GDP (current US$),198024400.0,183369300.0,183498800.0,193143900.0,211103300.0,223388400.0,243147000.0,280376100.0,300125600.0,286321800.0,283994900.0
187,188,Papua New Guinea,GDP (current US$),11670840924.0,11619637816.0,14250755222.0,17984910496.0,21295659249.0,21261432775.0,23210682537.0,21723531182.0,20759069105.0,22742613549.0,23497607690.0
188,189,Poland,GDP (current US$),534000000000.0,440000000000.0,479000000000.0,529000000000.0,500000000000.0,524000000000.0,545000000000.0,478000000000.0,472000000000.0,526000000000.0,586000000000.0
189,190,Pre-demographic dividend,GDP (current US$),953000000000.0,860000000000.0,1020000000000.0,1190000000000.0,1310000000000.0,1440000000000.0,1530000000000.0,1340000000000.0,1240000000000.0,1320000000000.0,1320000000000.0
190,191,Puerto Rico,GDP (current US$),93639300000.0,96385600000.0,98381300000.0,100000000000.0,102000000000.0,102000000000.0,102000000000.0,103000000000.0,104000000000.0,104000000000.0,101000000000.0
191,192,"Korea, Dem. People’s Rep.",GDP (current US$),,,,,,,,,,,
192,193,Portugal,GDP (current US$),262000000000.0,244000000000.0,238000000000.0,245000000000.0,216000000000.0,226000000000.0,230000000000.0,199000000000.0,206000000000.0,221000000000.0,241000000000.0
193,194,Paraguay,GDP (current US$),24578067861.0,22341754514.0,27215968616.0,33715524704.0,33283228891.0,38585317743.0,40276532541.0,36164068797.0,36054281572.0,39008900332.0,40496953779.0
194,195,West Bank and Gaza,GDP (current US$),6673500000.0,7268200000.0,8913100000.0,10465400000.0,11279400000.0,12476000000.0,12715600000.0,12673000000.0,13425700000.0,14498100000.0,14615900000.0
