country_name,Indicator_Name,YR_2008,YR_2009,YR_2010,YR_2011,YR_2012,YR_2013,YR_2014,YR_2015,YR_2016,YR_2017,YR_2018
Cameroon,"Population, total",19252666,19789919,20341241,20906388,21485266,22077298,22681858,23298368,23926539,24566045,25216237
"Congo, Dem. Rep.","Population, total",60411195,62448574,64563854,66755153,69020747,71358807,73767447,76244544,78789127,81398764,84068091
"Congo, Rep.","Population, total",4011486,4145391,4273731,4394844,4510198,4622761,4736974,4856095,4980999,5110702,5244363
Colombia,"Population, total",44254975,44750054,45222700,45663099,46076848,46497267,46969209,47520667,48171392,48901066,49648685
Comoros,"Population, total",657229,673252,689692,706569,723871,741505,759390,777424,795592,813892,832322
Cabo Verde,"Population, total",480842,486671,492654,498856,505235,511748,518269,524743,531146,537497,543767
Costa Rica,"Population, total",4463125,4520740,4577378,4633086,4688000,4742107,4795396,4847804,4899345,4949954,4999441
Caribbean small states,"Population, total",6878978,6925452,6973206,7022387,7072665,7123332,7173435,7222212,7269386,7314990,7358965
Cuba,"Population, total",11236971,11226709,11225832,11236670,11257101,11282720,11306902,11324781,11335109,11339259,11338138
Curacao,"Population, total",145880,146833,148703,150831,152088,153822,155909,157980,159664,160175,159849
Cayman Islands,"Population, total",53836,55322,56672,57878,58958,59932,60848,61724,62569,63382,64174
Cyprus,"Population, total",1081563,1098083,1112612,1124833,1135046,1143866,1152285,1160985,1170187,1179680,1189265
Czech Republic,"Population, total",10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10594438,10625695
Germany,"Population, total",82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82927922
Djibouti,"Population, total",816358,827823,840198,853674,868136,883293,898696,913993,929112,944097,958920
Dominica,"Population, total",70827,70851,70878,70916,70965,71016,71085,71183,71307,71458,71625
Denmark,"Population, total",5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5797446
Dominican Republic,"Population, total",9458075,9576737,9695121,9813210,9930911,10048224,10165178,10281680,10397743,10513131,10627165
Algeria,"Population, total",34730608,35333881,35977455,36661444,37383887,38140132,38923687,39728025,40551404,41389198,42228429
East Asia & Pacific (excluding high income),"Population, total",1938067140,1952027348,1965964309,1980045666,1994401378,2008932012,2023609315,2038202511,2053116851,2068155660,2081651801
Early-demographic dividend,"Population, total",2820903724,2864614907,2908287643,2951856336,2994852889,3037662926,3080325473,3122841922,3165142287,3207188541,3249140605
East Asia & Pacific,"Population, total",2177119142,2192059415,2206884624,2221673110,2236819053,2252046977,2267482299,2282855831,2298514046,2314202003,2328220870
Europe & Central Asia (excluding high income),"Population, total",394991819,396743394,398783138,401012737,403265869,405778196,408278056,410844329,413361214,415710935,417797257
Europe & Central Asia,"Population, total",881531261,885170595,888627318,890862941,894486795,898766094,903129978,907498192,911812364,915420161,918793590
