country_name,Indicator_Name,YR_2008,YR_2009,YR_2010,YR_2011,YR_2012,YR_2013,YR_2014,YR_2015,YR_2016,YR_2017,YR_2018
Cambodia,"Population, total",13883834,14093604,14312212,14541423,14780454,15026332,15274503,15521436,15766293,16009414,16249798
Kiribati,"Population, total",98761,100930,102927,104728,106370,107890,109391,110930,112524,114158,115847
St. Kitts and Nevis,"Population, total",48185,48599,49016,49447,49887,50331,50774,51203,51625,52045,52441
"Korea, Rep.","Population, total",49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51245707,51466201,51635256
Kuwait,"Population, total",2656009,2821045,2991884,3168060,3348853,3526378,3690942,3835591,3956873,4056097,4137309
Latin America & Caribbean (excluding high income),"Population, total",547116062,553561029,559867514,566309408,572713225,579053861,585296422,591416820,597399287,603254104,609013934
Lao PDR,"Population, total",6046620,6148623,6249165,6347567,6444530,6541304,6639756,6741164,6845846,6953035,7061507
Lebanon,"Population, total",4764741,4813026,4953061,5202343,5538634,5914621,6262410,6532678,6711121,6811873,6848925
Liberia,"Population, total",3607860,3754133,3891356,4017443,4135659,4248334,4359505,4472230,4586788,4702228,4818977
Libya,"Population, total",6058748,6133984,6197663,6247439,6285750,6320359,6362037,6418315,6492164,6580724,6678567
St. Lucia,"Population, total",170011,172221,174085,175544,176646,177513,178296,179126,180024,180955,181889
Latin America & Caribbean,"Population, total",577050884,583746102,590303295,596966199,603586217,610151927,616619613,622986033,629240066,635372515,641357515
Least developed countries: UN classification,"Population, total",798563392,817322629,836614860,856472234,876869863,897797478,919226401,941131317,963511276,986365080,1009662578
Low income,"Population, total",547481280,562386040,577274011,592092182,606913332,621915808,637350644,653405207,670117389,687449530,705417321
Liechtenstein,"Population, total",35471,35727,35994,36293,36615,36934,37223,37470,37658,37800,37910
Sri Lanka,"Population, total",19983984,20123508,20261737,20398670,20425000,20585000,20778000,20970000,21203000,21444000,21670000
Lower middle income,"Population, total",2605437640,2646675754,2688436551,2730385840,2772231195,2814221065,2856124025,2898058449,2939830821,2981420591,3022905169
Low & middle income,"Population, total",5616213108,5690410869,5765121055,5840675761,5916770281,5993786433,6071330528,6149221337,6227752871,6306560891,6383958209
Lesotho,"Population, total",1987129,1990131,1995581,2003787,2014990,2028519,2043437,2059021,2075001,2091412,2108132
Late-demographic dividend,"Population, total",2154947270,2168543985,2181529363,2194530619,2207632770,2220999087,2234568586,2248128427,2262158994,2276319334,2288665963
